Time Stamp, Oakland
Mon Jan 14 17:24:40 2013,        -10
Mon Jan 14 18:24:40 2013,        -10
Mon Jan 14 19:24:41 2013,        -10
Mon Jan 14 20:24:41 2013,        -10
Mon Jan 14 21:24:41 2013,        -10
Mon Jan 14 22:24:41 2013,        -10
Mon Jan 14 23:24:41 2013,        -10
Tue Jan 15 00:24:42 2013,        -10
Tue Jan 15 01:24:42 2013,        -10
Tue Jan 15 02:24:42 2013,        -10
Tue Jan 15 03:24:42 2013,        -10
Tue Jan 15 04:24:42 2013,        -10
Tue Jan 15 05:24:43 2013,        -10
Tue Jan 15 06:24:43 2013,        -10
Tue Jan 15 07:24:43 2013,        -10
Tue Jan 15 07:24:54 2013,        -10
Tue Jan 15 07:25:04 2013,        -10
Tue Jan 15 07:25:15 2013,        -10
Tue Jan 15 07:25:25 2013,        -10
Tue Jan 15 07:25:36 2013,        -10
Tue Jan 15 07:25:46 2013,        -10
Tue Jan 15 07:25:57 2013,        -10
Tue Jan 15 07:26:07 2013,        -10
Tue Jan 15 07:26:18 2013,        -10
Tue Jan 15 07:26:28 2013,        -10
Tue Jan 15 07:26:39 2013,        -10
Tue Jan 15 07:26:49 2013,        -10
Tue Jan 15 07:27:00 2013,        -10
Tue Jan 15 07:27:11 2013,        -10
Tue Jan 15 07:27:21 2013,        -10
Tue Jan 15 07:27:32 2013,        -10
Tue Jan 15 07:27:42 2013,        -10
Tue Jan 15 07:27:53 2013,        -10
Tue Jan 15 07:28:03 2013,        -10
Tue Jan 15 07:28:13 2013,        -10
Tue Jan 15 07:28:24 2013,        -10
Tue Jan 15 07:28:34 2013,        -10
Tue Jan 15 07:28:45 2013,        -10
Tue Jan 15 07:28:55 2013,        -10
Tue Jan 15 07:29:06 2013,        -10
Tue Jan 15 07:29:16 2013,        -10
Tue Jan 15 07:29:27 2013,        -10
Tue Jan 15 07:29:37 2013,        -10
Tue Jan 15 07:29:48 2013,        -10
Tue Jan 15 07:29:58 2013,        -10
Tue Jan 15 07:30:09 2013,        -10
Tue Jan 15 07:30:19 2013,        -10
Tue Jan 15 07:30:30 2013,        -10
Tue Jan 15 07:30:40 2013,        -10
Tue Jan 15 07:30:51 2013,        -10
Tue Jan 15 07:31:01 2013,        -10
Tue Jan 15 07:31:12 2013,        -10
Tue Jan 15 07:31:22 2013,        -10
Tue Jan 15 07:31:33 2013,        -10
Tue Jan 15 07:31:44 2013,        -10
Tue Jan 15 07:31:54 2013,        -10
Tue Jan 15 07:32:05 2013,        -10
Tue Jan 15 07:32:15 2013,        -10
Tue Jan 15 07:32:26 2013,        -10
Tue Jan 15 07:32:37 2013,        -10
Tue Jan 15 07:32:47 2013,        -10
Tue Jan 15 07:32:58 2013,        -10
Tue Jan 15 07:33:08 2013,        -10
Tue Jan 15 07:33:19 2013,        -10
Tue Jan 15 07:33:30 2013,        -10
Tue Jan 15 07:33:40 2013,        -10
Tue Jan 15 07:33:51 2013,        -10
Tue Jan 15 07:34:01 2013,        -10
Tue Jan 15 07:34:12 2013,        -10
Tue Jan 15 07:34:23 2013,        -10
Tue Jan 15 07:34:33 2013,        -10
Tue Jan 15 07:34:44 2013,        -10
Tue Jan 15 07:34:54 2013,        -10
Tue Jan 15 07:35:05 2013,        -10
Tue Jan 15 07:35:15 2013,        -10
Tue Jan 15 07:35:26 2013,        -10
Tue Jan 15 07:35:37 2013,        -10
Tue Jan 15 07:35:47 2013,        -10
Tue Jan 15 07:35:58 2013,        -10
Tue Jan 15 07:36:08 2013,        -10
Tue Jan 15 07:36:19 2013,        -10
Tue Jan 15 07:36:29 2013,        -10
Tue Jan 15 07:36:40 2013,        -10
Tue Jan 15 07:36:51 2013,        -10
Tue Jan 15 07:37:01 2013,        -10
Tue Jan 15 07:37:12 2013,        -10
Tue Jan 15 07:37:22 2013,        -10
Tue Jan 15 07:37:33 2013,        -10
Tue Jan 15 07:37:44 2013,        -10
Tue Jan 15 07:37:54 2013,        -10
Tue Jan 15 07:38:05 2013,        -10
Tue Jan 15 07:38:15 2013,        -10
Tue Jan 15 07:38:26 2013,        -10
Tue Jan 15 07:38:37 2013,        -10
